cbsa,cbsa_name,X000,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,total_workers,worker_to_jobloss_rate,cbsa_cbsaName
10580,"Albany-Schenectady-Troy, NY",37534,3.2,-15.0,147.2,2079.8,1629.3,1368.3,3642.4,1713.1,569.8,713.9,488.8,1065.4,686.1,1555.3,3604.3,3409.3,1908.6,8663.9,2871.8,1428.8,423980,0.08853,"10580, Albany-Schenectady-Troy, NY"
10900,"Allentown-Bethlehem-Easton, PA-NJ",23556,10.6,37.8,53.1,1329.5,1770.9,734.3,1427.1,-83.8,468.1,243.5,106.5,-244.7,277.9,3637.8,886.3,3746.3,1583.3,5554.1,1681.2,336.0,406651,0.05793,"10900, Allentown-Bethlehem-Easton, PA-NJ"
12420,"Austin-Round Rock-Georgetown, TX",18679,6.8,1038.8,-96.4,4042.2,1409.6,-154.3,1062.8,-584.1,1385.3,-1328.1,214.4,-4737.4,301.6,536.1,1459.6,2428.2,2583.5,5297.9,3425.4,387.2,999654,0.01869,"12420, Austin-Round Rock-Georgetown, TX"
12940,"Baton Rouge, LA",24960,14.1,297.5,97.3,5526.1,3004.2,658.2,737.4,1069.9,1411.1,578.3,688.8,-150.9,253.2,1510.2,160.0,1177.0,1400.3,4592.8,881.8,1052.8,356099,0.07009,"12940, Baton Rouge, LA"
16740,"Charlotte-Concord-Gastonia, NC-SC",23051,-2.3,-55.6,-114.6,-280.5,3311.4,298.9,550.8,-2892.5,-200.9,-309.6,545.7,-4408.2,1350.4,2089.6,2561.7,5263.2,2809.9,9089.9,2363.8,1079.9,1182992,0.01949,"16740, Charlotte-Concord-Gastonia, NC-SC"
17460,"Cleveland-Elyria, OH",45089,8.1,129.3,43.9,1146.1,6173.8,1297.9,1479.6,-512.4,1097.1,268.4,425.3,1761.7,586.1,3976.7,2097.0,8270.4,2571.6,9490.7,3619.6,1157.9,970974,0.04644,"17460, Cleveland-Elyria, OH"
18140,"Columbus, OH",41685,7.5,171.9,38.7,1193.2,3620.2,1051.2,2882.7,-2640.6,1566.6,445.8,356.7,1792.1,733.5,4808.3,2683.1,6536.6,2023.2,9490.0,3474.7,1450.1,985433,0.0423,"18140, Columbus, OH"
27260,"Jacksonville, FL",19468,-0.6,-6.4,46.2,-31.5,470.7,866.4,2126.2,599.7,583.5,-1365.5,336.4,-3035.9,418.1,3338.2,-581.8,2233.3,3573.4,8406.6,1238.1,253.1,680966,0.02859,"27260, Jacksonville, FL"
28140,"Kansas City, MO-KS",27108,-0.9,2.0,34.2,75.8,2897.6,871.4,2333.0,-2377.5,1531.1,1866.4,2563.3,-510.0,1721.1,2110.5,-2162.6,3784.7,3665.4,6608.4,1603.5,490.7,1039057,0.02609,"28140, Kansas City, MO-KS"
31140,"Louisville/Jefferson County, KY-IN",18364,7.5,76.2,-4.9,-43.9,2502.1,417.2,-417.8,-3574.0,1036.1,-704.4,323.7,-88.1,296.9,4612.2,1351.1,2936.4,-1.9,7462.8,1629.6,547.3,626426,0.02932,"31140, Louisville/Jefferson County, KY-IN"
33340,"Milwaukee-Waukesha, WI",29577,2.5,19.0,11.3,954.2,1796.6,804.9,1352.4,-599.1,134.2,1590.6,-6.8,-106.2,-2.9,1177.8,3217.3,3378.3,5428.5,7697.9,981.4,1744.8,784646,0.03769,"33340, Milwaukee-Waukesha, WI"
36420,"Oklahoma City, OK",19436,10.3,5393.3,13.7,441.0,2072.1,322.0,635.7,-102.6,1365.7,781.4,654.2,564.1,1161.5,3613.8,-1738.7,2700.0,843.3,-123.0,553.5,274.8,573674,0.03388,"36420, Oklahoma City, OK"
